t_s,dt_s,yaw,yaw_unwrapped_deg,vgx,vgy,vxy,vx_world_m_s,vy_world_m_s,h,tof,h_fused,x_m,y_m,step_dist_m,dist_2d_m
28.01057195663452,0.10300278663635254,-84,-84.0,0,0,0.0,8.320342534776677e-07,-8.193735500111234e-06,60,173,127.8,0.1008310719685707,0.13881269665940066,8.483177341405316e-07,0.24898217532119749
28.111027240753174,0.10045528411865234,-84,-84.0,0,0,0.0,6.240256901082508e-07,-6.145301625083425e-06,60,172,127.2,0.1008311346552487,0.13881207933137993,6.205026227118308e-07,0.24898279582382019
28.216469049453735,0.10544180870056152,-84,-84.0,0,0,0.0,4.680192675811881e-07,-4.608976218812569e-06,60,172,127.2,0.10083118400404678,0.13881159335259116,4.884779288830055e-07,0.24898328430174907
28.31932306289673,0.10285401344299316,-83,-83.0,0,0,0.0,4.112892841577434e-07,-3.4500796401990448e-06,60,173,127.8,0.10083122630680035,0.13881123849805346,3.5736713038528246e-07,0.24898364166887946
28.42070508003235,0.10138201713562012,-83,-83.0,0,0,0.0,3.0846696311830753e-07,-2.5875597301492835e-06,60,173,127.8,0.10083125757980328,0.13881097616602855,2.641895001732886e-07,0.24898390585837962
28.52125310897827,0.10054802894592285,-83,-83.0,0,0,0.0,2.3135022233873062e-07,-1.940669797611962e-06,70,173,131.8,0.10083128084161214,0.13881078103550556,1.965121694740353e-07,0.2489841023705491
28.621584177017212,0.10033106803894043,-83,-83.0,0,0,0.0,1.7351266675404798e-07,-1.455502348208972e-06,70,173,131.8,0.1008312982503233,0.13881063500340043,1.4706610402514545e-07,0.24898424943665312
28.721917152404785,0.10033297538757324,-83,-83.0,0,0,0.0,1.3013450006553598e-07,-1.091626761156729e-06,70,173,131.8,0.10083131130710489,0.1388105254772395,1.1030167487433413e-07,0.248984359738328
28.827085971832275,0.10516881942749023,-83,-83.0,0,0,0.0,9.760087504915197e-08,-8.187200708675467e-07,60,174,128.39999999999998,0.1008313215716737,0.1388104393734162,8.67134923682728e-08,0.24898444645182036
28.92958092689514,0.10249495506286621,-83,-83.0,0,0,0.0,7.320065628686398e-08,-6.140400531506599e-07,60,174,128.39999999999998,0.10083132907437167,0.13881037643740854,6.338163406235174e-08,0.2489845098334544
29.030152797698975,0.10057187080383301,-83,-83.0,0,0,0.0,5.490049221514799e-08,-4.60530039862995e-07,60,174,128.39999999999998,0.10083133459581688,0.13881033012104088,4.664431660327715e-08,0.248984556477771
29.131927013397217,0.10177421569824219,-83,-83.0,0,0,0.0,4.117536916136099e-08,-3.4539752989724627e-07,70,174,132.39999999999998,0.10083133878640778,0.13881029496847816,3.54014649011936e-08,0.2489845918792359
29.233143091201782,0.10121607780456543,-83,-83.0,0,0,0.0,3.088152687102075e-08,-2.590481474229347e-07,70,174,132.39999999999998,0.1008313419121148,0.13881026874864072,2.640549033896921e-08,0.24898461828472626
29.33360505104065,0.10046195983886719,-83,-83.0,0,0,0.0,2.3161145153265564e-08,-1.9428611056720105e-07,70,174,132.39999999999998,0.10083134423892884,0.1388102492302773,1.9656565692171087e-08,0.24898463794129194
29.43610906600952,0.10250401496887207,-83,-83.0,0,0,0.0,1.7370858864949175e-08,-1.457145829254008e-07,70,173,131.8,0.10083134601951162,0.1388102342939475,1.5042088372394546e-08,0.24898465298338032
29.541534185409546,0.10542511940002441,-83,-83.0,0,0,0.0,1.3028144148711881e-08,-1.092859371940506e-07,70,173,131.8,0.10083134739300527,0.13881022277246452,1.1603062303220412e-08,0.24898466458644264
29.64364194869995,0.10210776329040527,-83,-83.0,0,0,0.0,9.77110811153391e-09,-8.196445289553795e-08,70,172,131.2,0.10083134839071126,0.13881021440325755,8.428466188918398e-09,0.24898467301490884
